"brokertitle","type","price","beds","bath","propertysqft","address","state","administrative_area_level_2","latitude","longitude","postcode"
Real Estate Authorities Inc,House for sale,499000.0,5,2,1236.0,"3636 Barnes Ave","Bronx, NY ",United States,40.879318,-73.8613522,"10467"
Corcoran West Side Gallery,Co-op for sale,1795000.0,4,3,2184.207862,"622 W 114th St Apt 53","New York, NY ",New York,40.80699,-73.966129,"10025"
Broadway Realty,Condo for sale,2300000.0,2,2,1163.0,"515 E 72nd St Apt 29D","New York, NY ",New York,40.7666839,-73.9527719,"10021"
KELLER WILLIAMS REALTY LANDMARK II,Pending,749000.0,3,3,1368.0,"90-47 176th St","Jamaica, NY ",United States,40.7088867,-73.7844919,"11432"
Island Advantage Realty Llc,Condo for sale,594900.0,2,1,729.0,"306 Lincoln Rd Apt 2L","Brooklyn, NY ",New York,40.6612226,-73.9525371,"11225"
COMPASS,Townhouse for sale,1399000.0,4,2,1700.0,"1746 Bergen St","Brooklyn, NY ",United States,40.6745279,-73.9243055,"11233"
CENTURY 21 Homefront,Condo for sale,639000.0,2,2,800.0,"144-49 Barclay Ave Unit 7B","Queens, NY ",New York,40.7603904,-73.8194905,"11355"
Brick & Mortar Llc,Multi-family home for sale,1995000.0,9,3,3600.0,"673 Knickerbocker Ave Unit Bldg","Brooklyn, NY ",United States,40.6950726,-73.9113766,"11221"
Classic Service Realty Inc,Multi-family home for sale,1250000.0,5,2,2376.0,"2337 Foster Ave","Ditmas Park, NY ",United States,40.6383413,-73.9547608,"11226"
Ivey North,Contingent,275000.0,3,1,363.0,"88 Brooklyn Ave Apt A6","Brooklyn, NY ",New York,40.6770084,-73.9444319,"11216"
Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,3495000.0,3,3,2184.207862,"129 E 69th St Apt 7B","New York, NY ",New York,40.7687653,-73.9638365,"10021"
Modern Spaces Love Your Place,Pending,325000.0,2,1,2184.207862,"36 Hamilton Ave Apt 6K","Staten Island, NY ",New York,40.6449121,-74.0787385,"10301"
Keller Williams Realty Liberty,Condo for sale,225000.0,3,1,2184.207862,"971 Jerome St Apt 3A","Brooklyn, NY ",New York,40.6570179,-73.8781548,"11207"
EXP Realty,Contingent,1175000.0,3,3,2774.0,"29 Douglas Rd","Staten Island, NY ",United States,40.6069353,-74.0933004,"10304"
"Nest Seekers International, Midtown",Co-op for sale,545000.0,1,1,2184.207862,"445 E 86th St Apt 16C","New York, NY ",New York,40.7763285,-73.9475088,"10028"
Sotheby's International Realty - Downtown Manhattan,Pending,998000.0,3,2,1600.0,"309 E 108th St Apt 2B","New York, NY ",New York,40.7917785,-73.9406204,"10029"
RE MAX Edge,Condo for sale,540000.0,3,2,2184.207862,"172 Greenleaf Ave Unit 2B","Staten Island, NY ",New York,40.6261372,-74.1267716,"10310"
Brown Harris Stevens,Co-op for sale,165000.0,3,1,550.0,"555 Kappock St Apt 5M","Bronx, NY ",New York,40.878087,-73.9170513,"10463"
Sotheby's International Realty - East Side Manhattan Brokerage,Condo for sale,779000.0,1,1,517.0,"186 W 80th St Apt 3A","New York, NY ",New York,40.7835114,-73.9776775,"10024"
Corcoran Williamsburg Bedford,Condo for sale,1399999.0,2,2,1041.0,"330 E 38th St Apt 14L","New York, NY ",New York,40.7462651,-73.972462,"10016"
Charles Rutenberg Realty Inc,Co-op for sale,569000.0,3,2,2184.207862,"6011 Broadway Apt L1","Woodside, NY ",New York,40.7511899,-73.90201,"11377"
Sowae Corp,House for sale,285000.0,3,2,1536.0,"63 Cassidy Pl","Staten Island, NY ",United States,40.6423112,-74.0943328,"10301"
Corcoran Park Slope,Townhouse for sale,6295000.0,4,4,4650.0,"612 3rd St","Brooklyn, NY ",United States,40.6685976,-73.975142,"11215"
"Nest Seekers International, Midtown",Condo for sale,11500000,6,7,4908.0,"522 W 29th St Unit 3AB","New York, NY ",New York,40.7518261,-74.002774,"10001"
J Milo Real Estate,Condo for sale,199999.0,1,1,750.0,"10 E 43rd St Apt 3K","Brooklyn, NY ",New York,40.655858,-73.9377831,"11203"
E Realty International Corp,Condo for sale,569000.0,1,1,490.0,"41-62 Bowne St Unit 11C","Flushing, NY ",New York,40.7576255,-73.8231097,"11355"
Brown Harris Stevens,Pending,345000.0,2,1,975.0,"3135 Johnson Ave Apt 10F","Bronx, NY ",New York,40.8828679,-73.9112962,"10463"
Prime Realty,House for sale,1448000.0,3,2,2184.207862,"155-11 14th Ave","Beechhurst, NY ",United States,40.7895173,-73.8063176,"11357"
"Fillmore Real Estate Fusion Team, INC.",Co-op for sale,183000.0,1,1,831.0,"2166 Bronx Park E Apt 5J","Bronx, NY ",New York,40.8552565,-73.8693804,"10462"
Brown Harris Stevens- 3531 Johnson Avenue,Condo for sale,1995000.0,5,4,3075.0,"640 W 237th St Apt 14C","Bronx, NY ",New York,40.8879309,-73.9121663,"10463"
COMPASS,Townhouse for sale,2250000.0,5,3,2105.0,"615 President St","Brooklyn, NY ",United States,40.6764588,-73.982188,"11215"
Opulence Properties,Condo for sale,650000.0,3,2,1632.0,"259 Windham Loop","Staten Island, NY ",United States,40.577069,-74.161888,"10314"
Douglas Elliman - 3544 Johnson Ave,Multi-family home for sale,14000000,3,2,2184.207862,"3641 Johnson Ave","Bronx, NY ",United States,40.8879286,-73.9096657,"10463"
EXIT REALTY PRIVATE CLIENT,Multi-family home for sale,785000.0,7,3,3388.0,"1746 Van Buren St","Bronx, NY ",United States,40.8423282,-73.8710228,"10460"
"KMS Realty Group, Inc.",House for sale,2599999.0,6,6,6353.0,"65 Jenna Ln","Staten Island, NY ",United States,40.5920591,-74.1031199,"10304"
Douglas Elliman - Long Island City,Co-op for sale,1850000.0,5,3,3000.0,"107-40 Queens Blvd Ph 1","Queens, NY ",New York,40.7213129,-73.8450098,"11375"
Keller Williams NYC,Condo for sale,435000.0,1,1,661.0,"109-20 Queens Blvd Unit 3K","Forest Hills, NY ",New York,40.7198175,-73.8412403,"11375"
First Home Equity Realty,Multi-family home for sale,1899000.0,8,4,2184.207862,"102 Cornelia St","Brooklyn, NY ",United States,40.689822,-73.9156171,"11221"
LINCOLN V WALTERS II REALTY CORP,Pending,875000.0,6,2,2340.0,"2729 Westervelt Ave","Bronx, NY ",United States,40.8661368,-73.8400914,"10469"
"Nest Seekers International, Midtown",Condo for sale,1479000.0,2,1,2184.207862,"36 Gramercy Park E Apt 5S","New York, NY ",New York,40.7375223,-73.9849542,"10003"
Corcoran East Side,Co-op for sale,2250000.0,3,2,2025.0,"455 E 51st St # 4A","New York, NY ",New York,40.7540096,-73.9637466,"10022"
COMPASS,Condo for sale,799000.0,2,2,922.0,"265 W 131st St Apt 4","Manhattan, NY ",New York,40.8138919,-73.9476673,"10027"
New York Residence,Townhouse for sale,12000000,10,10,5227.0,"30 Eighth Ave","New York, NY ",United States,40.7378493,-74.0042287,"10014"
Brown Harris Stevens,Co-op for sale,205000.0,1,1,1000.0,"3475 Greystone Ave Apt 4C","Bronx, NY ",New York,40.8850075,-73.9070017,"10463"
Brooklyn Residential Real Estate Services Llc,House for sale,897000.0,3,2,1664.0,"1611 E 31st St","Brooklyn, NY ",United States,40.6137691,-73.9416652,"11234"
Sotheby's International Realty - East Side Manhattan Brokerage,Co-op for sale,1195000.0,1,2,2184.207862,"300 E 74th St Apt 22E","New York, NY ",New York,40.769824,-73.9571759,"10021"
Coldwell Banker American Homes,Multi-family home for sale,1100000.0,6,3,2184.207862,"174 Essex St","Brooklyn, NY ",United States,40.6800424,-73.8830327,"11208"
